Date,Low,High,Volume,Close
8/4/2015,529.163,536.95,2934590,531.9
8/5/2015,534.119,539.14,2866861,537.01
8/6/2015,527.52,542.74,3820453,529.46
8/7/2015,518.21,529.4599,3969215,522.62
8/10/2015,523,532.2764,2615926,524
8/11/2015,522,528.98,2676600,527.46
8/12/2015,513.06,527.5,4014684,525.91
8/13/2015,525.4846,534.66,2895238,529.66
8/14/2015,528.25,534.11,1994799,531.52
8/17/2015,527.12,538.74,2581680,535.22
8/18/2015,533,539.49,2071342,535.02
8/19/2015,529,537.25,2324040,532.92
8/20/2015,515.77,533.25,4407990,515.78
8/21/2015,494.47,512.33,6706466,494.47
8/24/2015,451,489.76,10097601,463.37
8/25/2015,466.25,489.44,5679329,466.37
8/26/2015,478.76,503.72,6358639,500.77
8/27/2015,507.261,522.69,6114506,518.37
8/28/2015,513.04,521.5,2746708,518.01
8/31/2015,509.07,519.41,3002293,512.89
9/1/2015,493.43,510,3864514,496.54
9/2/2015,497.72,510.86,3707116,510.55
9/3/2015,502.57,515.84,3149694,504.72
9/4/2015,495.64,502.85,2692510,499
9/8/2015,508.5144,518.35,3810653,517.54
9/9/2015,515.06,529.95,4370657,516.89
9/10/2015,514.78,526.13,2575982,522.24
9/11/2015,520.605,529.44,3227862,529.44
9/14/2015,518.58,532.45,3130241,521.38
9/15/2015,517.2,527.92,2865933,522.37
9/16/2015,518.52,528.3,2252790,527.39
9/17/2015,526.57,546.97,4169484,538.87
9/18/2015,531.35,546.237,6160075,540.26
9/21/2015,539.59,549.78,3283313,548.39
9/22/2015,532.66,543.55,3841748,538.4
9/23/2015,534,541.21,2237571,536.07
9/24/2015,522.87,534.56,3500964,533.75
9/25/2015,521.4,542.8,4030998,524.25
9/28/2015,494.3337,520.28,5370668,504.06
9/29/2015,490.5,511.48,4457532,496.07
9/30/2015,501.6724,512.8,3902536,511.67
10/1/2015,506,520.8,3768483,520.72
10/2/2015,508.1,532.6,4597795,532.54
10/5/2015,536,545.91,3391359,543.68
10/6/2015,533.33,551.5,4547519,537.48
10/7/2015,529,542,3812087,541.94
10/8/2015,519.89,539.386,4676440,533.16
10/9/2015,530.27,541.79,3537364,539.8
10/12/2015,539.8,550.82,2776103,550.19
10/13/2015,543.1,553.2,2938044,548.9
10/14/2015,539.68,552.25,3582060,544.83
10/15/2015,547,563,4937034,562.44
10/16/2015,560.31,570.94,4315792,570.76
10/19/2015,567.38,579,4375420,573.15
10/20/2015,555.28,573,4346209,560.88
10/21/2015,552.52,565.25,3361655,555.77
10/22/2015,556.67,569.146,7779372,563.91
10/23/2015,595.36,619.45,10692667,599.03
10/26/2015,596.29,609.85,4269715,608.61
10/27/2015,605.53,614.71,3787136,611.01
10/28/2015,609.5,617.23,3926200,617.1
10/29/2015,615.39,627.54,3896026,626.55
10/30/2015,625.28,630.72,3874363,625.9
11/2/2015,620.41,628.63,2816479,628.35
11/3/2015,622,629.89,3246910,625.31
11/4/2015,627.35,645.93,4840501,640.95
11/5/2015,643.0901,657,4723825,655.65
11/6/2015,652,662.26,4092165,659.37
11/9/2015,647.8477,661.955,4048823,655.49
11/10/2015,647.262,660,3489483,659.68
11/11/2015,663.25,675.96,5387309,673.25
11/12/2015,664.22,675.64,4284678,665.6
11/13/2015,640.45,667,6261076,642.35
11/16/2015,622.29,649.99,7435934,647.81
11/17/2015,641,653.25,4316843,643.3
11/18/2015,646.37,664.88,4469769,663.54
11/19/2015,659,672.86,4705237,661.27
11/20/2015,657.57,668.87,3896135,668.45
11/23/2015,668.45,682.77,4385057,678.99
11/24/2015,661.2125,675.8,4543417,671.15
11/25/2015,671.24,679.7,2697889,675.34
11/27/2015,672.1,680.99,1966801,673.26
11/30/2015,664.6,681.29,5693172,664.8
12/1/2015,667.86,681,4751152,679.06
12/2/2015,674.25,684.82,4273526,676.01
12/3/2015,661.48,682.79,5064736,666.25
12/4/2015,661.4,674.775,4534796,672.64
12/7/2015,660.5,675.46,3732814,669.83
12/8/2015,659.79,679.99,3651908,677.33
12/9/2015,655.68,679,5158172,664.79
12/10/2015,659.56,668.526,3455472,662.32
12/11/2015,639.62,657.88,5474420,640.15
12/14/2015,635.27,658.585,4361273,657.91
12/15/2015,657.35,671.5,4753415,658.64
12/16/2015,659.32,677.35,3964470,675.77
12/17/2015,670.65,682.5,3681645,670.65
12/18/2015,664.13,676.84,6841304,664.14
12/21/2015,658.93,669.9,3250900,664.51
12/22/2015,659.26,668.49,2667795,663.15
12/23/2015,656.63,666.597,2722922,663.7
12/24/2015,660.6,664.68,1092970,662.79
12/28/2015,665.5,675.5,3783555,675.2
12/29/2015,677.8893,696.44,5734996,693.97
12/30/2015,686.375,695.49,3519003,689.07
12/31/2015,675.89,687.75,3749560,675.89
1/4/2016,627.51,657.715,9314519,636.99
1/5/2016,627.65,646.91,5822603,633.79
1/6/2016,620.31,639.79,5329197,632.65
1/7/2016,605.21,630,7074915,607.94
1/8/2016,606,624.14,5512915,607.05
1/11/2016,598.57,619.85,4891551,617.74
1/12/2016,612.2415,625.99,4724100,617.89
1/13/2016,579.16,620.88,7655239,581.81
1/14/2016,569.88,602.25,7237978,593
1/15/2016,565.3,584.62,7784523,570.18
